name,향수_note
Angels' Share By Kilian,"Cognac, Cinnamon, Tonka Bean, Oak, Praline, Vanilla, Sandalwood"
My Way  Giorgio Armani,"Orange Blossom, Bergamot, Tuberose, Indian Jasmine, White Musk, Madagascar Vanilla, Virginian Cedar"
Libre Intense  Yves Saint Laurent,"Lavender, Mandarin Orange, Bergamot, Lavender, Tunisian Orange Blossom, Jasmine Sambac, Orchid, Madagascar Vanilla, Tonka Bean, Ambergris, Vetiver"
Dior Homme 2020  Christian Dior,"Bergamot, Pink Pepper, elemi, Cashmere Wood, Atlas Cedar, Patchouli, Iso E Super, Haitian Vetiver, White Musk"
Acqua di Giò Profondo  Giorgio Armani,"Sea Notes, Aquozone, Bergamot, Green Mandarin, Rosemary, Cypress, Lavender, Mastic or Lentisque, Mineral notes, Musk, Patchouli, Amber"
Le Male Le Parfum  Jean Paul Gaultier,"Cardamom, Lavender, iris, Vanilla, Oriental notes, Woodsy Notes"
Beau De Jour Eau de Parfum  Tom Ford,"Lavender Extract, Lavender, Rosemary, Oakmoss, Mint, Basil, Geranium, Patchouli, Amber"
Angel Nova  Mugler,"Raspberry, Litchi, Damask Rose, Akigalawood, Benzoin"
L'Interdit Eau de Parfum Intense  Givenchy,"Black Pepper, Tuberose, Sesame, Orange Blossom, Madagascar Vanilla, Patchouli, Vetiver"
L'Homme Idéal Extrême  Guerlain,"Almond, Pink Pepper, Bergamot, Plum, Cinnamon, Heliotrope, Tobacco, Leather, Patchouli, Cedar"
Bitter Peach  Tom Ford,"Peach, Blood Orange, Cardamom, Heliotrope, Rum, Cognac, Davana, Jasmine, Indonesian Patchouli Leaf, Sandalwood, Vanilla, Tonka Bean, Cashmeran, Benzoin, Labdanum, Styrax, Vetiver"
Narciso Eau de Parfum Ambrée  Narciso Rodriguez,"Frangipani, Ylang-Ylang, White Flowers, Musk, Amber, Cashmeran, Vanilla, Cedar"
La Nuit Tresor Nude  Lancome,"Bergamot, Rose, Coconut, Vanila"
The Only One Eau de Parfum Intense  Dolce&Gabbana,"Neroli, Green Apple, Italian Mandarin, Jasmine, Coconut, Orange Blossom, Vanilla, Cashmere Wood, Cedar"
Black Orchid Parfum  Tom Ford,"Truffle, Plum, Ylang-Ylang, Rum, Black Orchid, Patchouli"
La Vie Est Belle Intensément  Lancome,"Raspberry, Pink Pepper, Bergamot, Heliotrope, Jasmine Sambac, Orange Blossom, Vanilla, iris, Benzoin, Sandalwood, Patchouli"
Miss Dior Rose N'Roses  Christian Dior,"Geranium, Bergamot, Italian Mandarin, Grasse Rose, Damask Rose, White Musk"
