향수_이름,향수_설명,향수_name
조러브스 조 바이 조 러브스,"씁스름한 자몽향이 나면서 베이스에 우디가 있어서 좋아요. 신기하다. 오렌지인데 백화점 오렌지예요. 현대 백화점에 가면 지하에 마트가 있잖아요, 거기에서 오렌지 포장 이렇게 막 해가지고 비싸게 그니까 그런 진짜 탐스럽게 잘 익은 주황색 시트러스 과일향이 처음에 퍼지는데 딱 그 상큼 씁쓸함이 너무 잘 표현이 됐고 뒤로 갈수록 자몽이나 오렌지에 달려 있는 가지나 이파리 그런 느낌도 살짝 그리너리하게 나고, 오렌지 수확할 때의 나무 상자같은 견고한 나무 냄새 우디 향도 베이스에 싹 깔려 있어요. 과즙 향이라는 게 아닌 거 같아요. 과즙 향은 분명 약간 촉촉하고 러블리하고 귀여운 느낌이 나야 되는데 얘는 세련됐고 되게 중성적이지. 탄 피부한테 엄청 잘 어울릴 것 같아요. 약간 캘리포니아 감성 쪽이요. 이 사람은 빨간 스포츠카 올 거 같은 약간 선글라스 하나 딱 끼고 그리고 캘리포니아의 그 오렌지 농장을 쫙 달리는 거죠.",Jo Loves Jo by Jo Loves
안나수이 판타지아 머메이드,"되게 유명하지 않은 비싼 니치 향수향이 나요. 되게 묘해요, 우아하고 고혹적이예요. 한편으로는 되게 고풍스럽게, 이게 옛날 옷장에서 날 것 같은, 그런 안나수이 풍이지만 엄청 과장되고 앤티크한 그게 그거대로 멋있어요. 향도 안나수이 향수라서 진짜 안나수이 풍인 거 같아요. 사람으로 따지자면, 되게 밝은 사람이 프릴 원피스를 입은 느낌?",Anna Sui Fantasia Mermaid
록시땅 시트러스 버베나,"여름하면 제일 먼저 떠오르는 향 중 하나죠! 얘는 진짜 기분전환 확 되는 느낌이예요. 완전 비타민 C 포로 나오는 걸로 물에 풀어서 워터밤 총에 넣고 마구 뿌리는 느낌! 진짜 시원한 옷차림, 야외용 옷차림에 걸맞는 아주 가볍고 전혀 부담 없는 시원한 향기예요. 이 향을 뿌리는 사람은 약간, 세상 사람 다 친구인 극E 인간 이미지의 분이실 것 같아요. 파워 사교성과 밝음으로 무장한 사람의 느낌.. 인간 비타민! 축 처진 기분을 끌어올려 줄 수 있는 그런 활기가 있는 향이라고 생각이 들어요. 직관적인 레몬 냄새보다는 약간 더 자연적인 그 나뭇가지 향이, 잘 익은 프루티향이 섞여 있는 향이예요. 원색 옷에 매치하면 정말 잘 어울릴거예요! 옆에서 맡는 사람들이 더 좋아할 향수 같아요.",L'Occitane Citrus Verbena
산타마리아노벨라 매그놀리아,"핑크색 꽃이 생각나요. 봄날에 꽃이 만개한 목련 나무 밑에 있는듯한 기분을 들게 해주는 달콤하고 화사한 프루티 플로럴 향인데, 여기서 느껴지는 달콤함이 쿨한 달콤함이라 여름에 뿌려도 괜찮지 않을까라는 생각이 들어요. 한 마디로 정리하자면, 목련 나무 아래 그늘에 있는 느낌! 좀 청순한 이미지, 디즈니 그런 거 보면은 꽃 많고 막 궁전 이런 데서 새 날아와 있고 약간 그런 화사하고 달콤하고 귀족적인 그런 느낌 있잖아요. 잠 자는 숲 속의 공주가 떠오르는 향, 핑크색 옷을 입고 정원에 누워있는 공주의 느낌. 소개팅 때 뿌려도 잘 어울릴 것 같아요! 린넨 소재 민소매 원피스에 가디건 입고 뿌리고 한강 걸으면 잘 어울릴 것 같아요.",Santa Maria Novella Magnolia
모노템 시클라미노,이 향수는 한 마디로 얘기할 수 있을 것 같아요. 데미소다 사과맛에 상추를 섞은 향입니다. 갓 재배해서 되게 싱싱한 상추랑 탄산이 가득하고 시원한 데미소다 사과맛을 함께 먹으면 여기서 나는 향이 나지 않을까라는 생각이 들었어요. 산뜻한 풀과 시트러스 과일 향이 잘 조화를 이뤄서 밝고 싱그러운 이미지를 연출해주는 향수예요. 햇살 좋은 날에 과일 바구니를 들고 잔디밭에 피크닉을 가면 날 것 같은 향으로 느껴지기도 합니다.,Monotheme Cyclamen
클린 리저브 테라 우드 EDP,북유럽의 숲속을 걷고 있을 때 불어오는 바람의 냄새를 담은 향수인데요. 실제로 냄새를 맡아 보면 확실히 나무 냄새가 나요. 숲속에서 느껴지는 풀과 이끼의 냄새나 바닥에 깔려있는 흙에 냄새는 잘 안 느껴지고 나무 둥치에 냄새가 많이 납니다. 울창한 숲속의 이미지라기보다는 나무가 많이 심어져 있는 도심 속의 공원의 이미지로 느껴집니다. 그리고 달콤한 바닐라향도 같이 느껴져요. 여기서 느껴지는 바닐라 향이 맑고 청결한 느낌이라서 비누나 섬유유연제의 느낌을 연상케 합니다. 달콤한 향이 나는 바디워시로 깨끗하게 샤워를 한 다음에 나무가 많이 심어져있는 길을 산책하고 있는 기분이 들어요.,Clean Reserve Terra Wood EDP
돌체앤가바나 더원 포맨,"이 향수는 처음 뿌리면 시원한 남자 스킨 냄새와 생강 차 냄새 그리고 엠버 향이 같이 납니다. 시간이 좀 지나면 낡은 나무 냄새 같은 게 나요. 아마도 타바코 향조와 시더우드 향조가 어우러져 이런 오래 돼 가지고 부식된 목재 가구에서 날 것 같은 냄새가 나는 것 같아요. 물에 젖거나, 오래돼서 부식된 목재 가구에게서 날 것 같은 향이랄까요.",Dolce & Gabbana The One for Men
모스키노 아이 러브러브,아주 시원하고 중성적인 오렌지향이 나는 제품이에요. 우리가 알고 있는 가장 흔하고 받아들이기 쉬운 여름용 시트러스 향을 예상하시면 될 것 같습니다.,Moschino I Love Love
페라가모 인칸토 참 EDT,청포도 사탕에다가 개운한 샴푸 향기를 섞은 향입니다. 아주 시원하고 상큼발랄해서 여름에 정말 잘 어울리는 것 같아요!,Ferragamo Incanto Charm EDT
엘리자베스 아덴 화이트 티,처음에 딱 맡을 때는 중성적인 시트러스 향에다 약간 인공적인 파우더향을 섞은 향이라고 느껴졌었어요. 하지만 시간이 조금 지나면 차향이 느껴지는데 약간 밀크티 중에서도 당도가 굉장히 낮고 우유도 적게 들어가고 물은 많이 들어가서 좀 희석이 많이 된 것 같은 느낌을 느꼈습니다. 향이 매우 은은해요!,Elizabeth Arden White Tea
